0 birthday;anonymized feature 208, 1/2/2012
1 birthday;anonymized feature 0, 1/3/2012
2 birthday;anonymized feature 1, 12/6/1998
3 birthday;anonymized feature 209, 12/4/1996
4 birthday;anonymized feature 2, 3/6/2001
5 birthday;anonymized feature 3, 2/1/2202
6 birthday;anonymized feature 211, 3/7/2004
7 education;concentration;id;anonymized feature 14, computer science
8 education;concentration;id;anonymized feature 15, business
9 education;concentration;id;anonymized feature 311, accounting
10 education;concentration;id;anonymized feature 215, marketing
11 education;concentration;id;anonymized feature 216, physics
12 education;concentration;id;anonymized feature 217, biology
13 education;concentration;id;anonymized feature 312, nursing
14 education;degree;id;anonymized feature 220, bechelor's degree
15 education;degree;id;anonymized feature 313, master's degree
16 education;degree;id;anonymized feature 22, phd
17 education;degree;id;anonymized feature 221, bechelor's degree
18 education;degree;id;anonymized feature 23, master's degree
19 education;degree;id;anonymized feature 222, phd
20 education;degree;id;anonymized feature 223, high school
21 education;school;id;anonymized feature 314, UC Berkeley
22 education;school;id;anonymized feature 226, UC Los Angel
23 education;school;id;anonymized feature 228, UC Santa Cruz
24 education;school;id;anonymized feature 229, San Francisco State University
25 education;school;id;anonymized feature 230, Harvard University
26 education;school;id;anonymized feature 315, Stanford University
27 education;school;id;anonymized feature 232, University of New York
28 education;school;id;anonymized feature 233, UC Santa Barbra
29 education;school;id;anonymized feature 236, UC Riverside
30 education;school;id;anonymized feature 316, UC Irvine
31 education;school;id;anonymized feature 237, Princeton University
32 education;school;id;anonymized feature 238, Harvard University
33 education;school;id;anonymized feature 44, Columbia University
34 education;school;id;anonymized feature 317, Massachusetts Institute of Technology
35 education;school;id;anonymized feature 244, Yale University
36 education;school;id;anonymized feature 247, Stanford University
37 education;school;id;anonymized feature 248, University of Chicago
38 education;school;id;anonymized feature 318, University of Pennsylvania
39 education;school;id;anonymized feature 319, California Institute of Technology
40 education;school;id;anonymized feature 320, John Hopkins University
41 education;school;id;anonymized feature 321, Northwestern University
42 education;school;id;anonymized feature 322, Duke University
43 education;school;id;anonymized feature 52, Dartmouth College
44 education;type;anonymized feature 53, Public
45 education;type;anonymized feature 54, Private
46 education;type;anonymized feature 55, Online 
47 education;year;id;anonymized feature 58, Public
48 education;year;id;anonymized feature 59, Private
49 education;year;id;anonymized feature 254, Online
50 education;year;id;anonymized feature 255, Public
51 education;year;id;anonymized feature 60, Private
52 education;year;id;anonymized feature 61, Online
53 education;year;id;anonymized feature 62, Public
54 education;year;id;anonymized feature 64, Private
55 education;year;id;anonymized feature 65, Online
56 education;year;id;anonymized feature 66, Public
57 education;year;id;anonymized feature 67, Private
58 education;year;id;anonymized feature 257, Online
59 education;year;id;anonymized feature 258, Public
60 education;year;id;anonymized feature 71, Private
61 education;year;id;anonymized feature 259, Online
62 first_name;anonymized feature 323, John
63 gender;anonymized feature 77, Male
64 gender;anonymized feature 78, Female
65 hometown;id;anonymized feature 128, San Francisco
66 hometown;id;anonymized feature 263, Los Angel
67 hometown;id;anonymized feature 84, San Jose
68 hometown;id;anonymized feature 298, San Francisco
69 languages;id;anonymized feature 92, English
70 languages;id;anonymized feature 94, Chinese
71 languages;id;anonymized feature 265, Japanese
72 languages;id;anonymized feature 101, French
73 last_name;anonymized feature 324, Anderson
74 last_name;anonymized feature 325, Joffei
75 last_name;anonymized feature 110, Bob
76 last_name;anonymized feature 326, Kim
77 last_name;anonymized feature 273, Madison
78 last_name;anonymized feature 275, Mike
79 last_name;anonymized feature 327, Smith
80 last_name;anonymized feature 328, Williams
81 locale;anonymized feature 126, home
82 locale;anonymized feature 127, balcony
83 locale;anonymized feature 278, 5th street
84 location;id;anonymized feature 128, downtown
85 location;id;anonymized feature 129, centeral park
86 location;id;anonymized feature 281, Golden Gate Bridge
87 location;id;anonymized feature 84, Golden Gate Park
88 name;anonymized feature 329, Jefferson
89 work;employer;id;anonymized feature 330, H&M
90 work;employer;id;anonymized feature 331, Gap
91 work;employer;id;anonymized feature 52, Mcdonald's
92 work;end_date;anonymized feature 157, 1/2/2015
93 work;end_date;anonymized feature 332, 4/6/2016
94 work;location;id;anonymized feature 296, 6th street unit 3
95 work;location;id;anonymized feature 84, Grand street
96 work;location;id;anonymized feature 297, Market treet
97 work;position;id;anonymized feature 183, cashier
98 work;position;id;anonymized feature 301, teller
99 work;position;id;anonymized feature 333, supervisor
100 work;start_date;anonymized feature 157, 1/10/2015
101 work;start_date;anonymized feature 334, 2/6/2019
102 work;start_date;anonymized feature 310, 2/2/200
103 work;start_date;anonymized feature 200, 2/1/2013
104 work;start_date;anonymized feature 202, 1/1/2001
