0 birthday;anonymized feature 206, 1/2/2001
1 birthday;anonymized feature 207, 1/5/1994
2 birthday;anonymized feature 208, 2/5/2004
3 birthday;anonymized feature 0, 1/2/1993
4 birthday;anonymized feature 1, 1/6/1992
5 birthday;anonymized feature 209, 3/5/1992
6 birthday;anonymized feature 2, 6/7/1994
7 birthday;anonymized feature 3, 5/6/1998
8 birthday;anonymized feature 210, 6/8/1995
9 birthday;anonymized feature 5, 7/1/2002
10 birthday;anonymized feature 211, 6/7/2001
11 birthday;anonymized feature 212, 8/1/1993
12 education;concentration;id;anonymized feature 13, computer science
13 education;concentration;id;anonymized feature 213, business
14 education;concentration;id;anonymized feature 14, biology
15 education;concentration;id;anonymized feature 214, nursing
16 education;concentration;id;anonymized feature 15, marketing
17 education;concentration;id;anonymized feature 215, mathematics
18 education;concentration;id;anonymized feature 216, English 
19 education;concentration;id;anonymized feature 217, business
20 education;concentration;id;anonymized feature 218, marketing
21 education;concentration;id;anonymized feature 219, nursing
22 education;degree;id;anonymized feature 20, bechelor's degree
23 education;degree;id;anonymized feature 21, master's degree
24 education;degree;id;anonymized feature 220, associate degree
25 education;degree;id;anonymized feature 22, bechelor's degree
26 education;degree;id;anonymized feature 221, master's degree
27 education;degree;id;anonymized feature 222, associate degree
28 education;degree;id;anonymized feature 223, bechelor's degree
29 education;degree;id;anonymized feature 224, master's degree
30 education;school;id;anonymized feature 225, Harvard University
31 education;school;id;anonymized feature 226, UC Berkeley
32 education;school;id;anonymized feature 227, UC Los Angel
33 education;school;id;anonymized feature 228, UC San Diego
34 education;school;id;anonymized feature 229, UC Santa Cruz
35 education;school;id;anonymized feature 230, UC Riverside
36 education;school;id;anonymized feature 231, Princeton University
37 education;school;id;anonymized feature 232, Columbia University
38 education;school;id;anonymized feature 233, Yale University
39 education;school;id;anonymized feature 234, Stanford University
40 education;school;id;anonymized feature 235, University of Chicago
41 education;school;id;anonymized feature 236, Harvard University
42 education;school;id;anonymized feature 237, UC Berkeley
43 education;school;id;anonymized feature 238, UC Los Angel
44 education;school;id;anonymized feature 239, UC San Diego
45 education;school;id;anonymized feature 240, UC Santa Cruz
46 education;school;id;anonymized feature 241, UC Riverside
47 education;school;id;anonymized feature 242, Princeton University
48 education;school;id;anonymized feature 243, Columbia University
49 education;school;id;anonymized feature 244, Yale University
50 education;school;id;anonymized feature 245, Stanford University
51 education;school;id;anonymized feature 246, University of Chicago
52 education;school;id;anonymized feature 247, Harvard University
53 education;school;id;anonymized feature 248, UC Berkeley
54 education;school;id;anonymized feature 50, UC Los Angel
55 education;school;id;anonymized feature 249, UC Santa Cruz
